"","kernel","degree","gamma","coefficient","cost","precision"
"result.69","polynomial","3","148.413159102577","3","2.71828182845905",0.53125
"result.70","polynomial","3","148.413159102577","3","148.413159102577",0.484375
"result.71","polynomial","3","148.413159102577","3","8103.08392757538",0.59375
"result.72","polynomial","5","0.00673794699908547","0","2.71828182845905",0.703125
"result.73","polynomial","5","0.00673794699908547","0","148.413159102577",0.703125
"result.74","polynomial","5","0.00673794699908547","0","8103.08392757538",0.703125
"result.75","polynomial","5","0.00673794699908547","1","2.71828182845905",0.703125
"result.76","polynomial","5","0.00673794699908547","1","148.413159102577",0.703125
"result.77","polynomial","5","0.00673794699908547","1","8103.08392757538",0.71875
"result.78","polynomial","5","0.00673794699908547","2","2.71828182845905",0.703125
"result.79","polynomial","5","0.00673794699908547","2","148.413159102577",0.703125
"result.80","polynomial","5","0.00673794699908547","2","8103.08392757538",0.734375
"result.81","polynomial","5","0.00673794699908547","3","2.71828182845905",0.703125
"result.82","polynomial","5","0.00673794699908547","3","148.413159102577",0.71875
"result.83","polynomial","5","0.00673794699908547","3","8103.08392757538",0.703125
"result.84","polynomial","5","1","0","2.71828182845905",0.734375
"result.85","polynomial","5","1","1","148.413159102577",0.765625
"result.86","polynomial","5","1","0","8103.08392757538",0.40625
"result.87","polynomial","5","1","1","2.71828182845905",0.734375
"result.88","polynomial","5","1","1","148.413159102577",0.609375
"result.89","polynomial","5","1","1","8103.08392757538",0.484375
"result.90","polynomial","5","1","2","2.71828182845905",0.734375
"result.91","polynomial","5","1","2","148.413159102577",0.625
"result.92","polynomial","5","1","2","8103.08392757538",0.609375
"result.93","polynomial","5","1","3","2.71828182845905",0.734375
"result.94","polynomial","5","1","3","148.413159102577",0.578125
"result.95","polynomial","5","1","3","8103.08392757538",0.484375
"result.96","polynomial","5","148.413159102577","0","2.71828182845905",0.625
"result.97","polynomial","5","148.413159102577","0","148.413159102577",0.71875
"result.98","polynomial","5","148.413159102577","0","8103.08392757538",0.71875
"result.99","polynomial","5","148.413159102577","1","2.71828182845905",0.640625
"result.100","polynomial","5","148.413159102577","1","148.413159102577",0.640625
"result.101","polynomial","5","148.413159102577","1","8103.08392757538",0.640625
"result.102","polynomial","5","148.413159102577","2","2.71828182845905",0.59375
"result.103","polynomial","5","148.413159102577","2","148.413159102577",0.59375
"result.104","polynomial","5","148.413159102577","2","8103.08392757538",0.59375
"result.105","polynomial","5","148.413159102577","3","2.71828182845905",0.546875
"result.106","polynomial","5","148.413159102577","3","148.413159102577",0.5
"result.107","polynomial","5","148.413159102577","3","8103.08392757538",0.453125
"result.108","radial","1","0.00673794699908547","0","2.71828182845905",0.703125
"result.109","radial","1","0.00673794699908547","0","148.413159102577",0.703125
"result.110","radial","1","0.00673794699908547","0","8103.08392757538",0.71875
"result.111","radial","1","0.00673794699908547","1","2.71828182845905",0.703125
"result.112","radial","1","0.00673794699908547","1","148.413159102577",0.703125
"result.113","radial","1","0.00673794699908547","1","8103.08392757538",0.71875
"result.114","radial","1","0.00673794699908547","2","2.71828182845905",0.703125
"result.115","radial","1","0.00673794699908547","2","148.413159102577",0.703125
"result.116","radial","1","0.00673794699908547","2","8103.08392757538",0.71875
"result.117","radial","1","0.00673794699908547","3","2.71828182845905",0.703125
"result.118","radial","1","0.00673794699908547","3","148.413159102577",0.703125
"result.119","radial","1","0.00673794699908547","3","8103.08392757538",0.71875
"result.120","radial","1","1","0","2.71828182845905",0.671875
"result.121","radial","1","1","0","148.413159102577",0.65625
"result.122","radial","1","1","0","8103.08392757538",0.5625
"result.123","radial","1","1","1","2.71828182845905",0.671875
"result.124","radial","1","1","1","148.413159102577",0.65625
"result.125","radial","1","1","1","8103.08392757538",0.5625
"result.126","radial","1","1","2","2.71828182845905",0.671875
"result.127","radial","1","1","2","148.413159102577",0.65625
"result.128","radial","1","1","2","8103.08392757538",0.5625
"result.129","radial","1","1","3","2.71828182845905",0.671875
"result.130","radial","1","1","3","148.413159102577",0.65625
"result.131","radial","1","1","3","8103.08392757538",0.5625
"result.132","radial","1","148.413159102577","0","2.71828182845905",0.671875
"result.133","radial","1","148.413159102577","0","148.413159102577",0.671875
"result.134","radial","1","148.413159102577","0","8103.08392757538",0.671875
"result.135","radial","1","148.413159102577","1","2.71828182845905",0.671875
"result.136","radial","1","148.413159102577","1","148.413159102577",0.671875
"result.137","radial","1","148.413159102577","1","8103.08392757538",0.671875
"result.138","radial","1","148.413159102577","2","2.71828182845905",0.671875
"result.139","radial","1","148.413159102577","2","148.413159102577",0.671875
"result.140","radial","1","148.413159102577","2","8103.08392757538",0.671875
"result.141","radial","1","148.413159102577","3","2.71828182845905",0.671875
"result.142","radial","1","148.413159102577","3","148.413159102577",0.671875
"result.143","radial","1","148.413159102577","3","8103.08392757538",0.671875
"result.144","radial","3","0.00673794699908547","0","2.71828182845905",0.703125
"result.145","radial","3","0.00673794699908547","0","148.413159102577",0.703125
"result.146","radial","3","0.00673794699908547","0","8103.08392757538",0.71875
"result.147","radial","3","0.00673794699908547","1","2.71828182845905",0.703125
"result.148","radial","3","0.00673794699908547","1","148.413159102577",0.703125
"result.149","radial","3","0.00673794699908547","1","8103.08392757538",0.71875
"result.150","radial","3","0.00673794699908547","2","2.71828182845905",0.703125
"result.151","radial","3","0.00673794699908547","2","148.413159102577",0.703125
"result.152","radial","3","0.00673794699908547","2","8103.08392757538",0.71875
"result.153","radial","3","0.00673794699908547","3","2.71828182845905",0.703125
"result.154","radial","3","0.00673794699908547","3","148.413159102577",0.703125
"result.155","radial","3","0.00673794699908547","3","8103.08392757538",0.71875
"result.156","radial","3","1","0","2.71828182845905",0.671875
"result.157","radial","3","1","0","148.413159102577",0.65625
"result.158","radial","3","1","0","8103.08392757538",0.5625
"result.159","radial","3","1","1","2.71828182845905",0.671875
"result.160","radial","3","1","1","148.413159102577",0.65625
"result.161","radial","3","1","1","8103.08392757538",0.5625
"result.162","radial","3","1","2","2.71828182845905",0.671875
"result.163","radial","3","1","2","148.413159102577",0.65625
"result.164","radial","3","1","2","8103.08392757538",0.5625
"result.165","radial","3","1","3","2.71828182845905",0.671875
"result.166","radial","3","1","3","148.413159102577",0.65625
"result.167","radial","3","1","3","8103.08392757538",0.5625
"result.168","radial","3","148.413159102577","0","2.71828182845905",0.671875
"result.169","radial","3","148.413159102577","0","148.413159102577",0.671875
"result.170","radial","3","148.413159102577","0","8103.08392757538",0.671875
"result.171","radial","3","148.413159102577","1","2.71828182845905",0.671875
"result.172","radial","3","148.413159102577","1","148.413159102577",0.671875
"result.173","radial","3","148.413159102577","1","8103.08392757538",0.671875
"result.174","radial","3","148.413159102577","2","2.71828182845905",0.671875
"result.175","radial","3","148.413159102577","2","148.413159102577",0.671875
"result.176","radial","3","148.413159102577","2","8103.08392757538",0.671875
"result.177","radial","3","148.413159102577","3","2.71828182845905",0.671875
"result.178","radial","3","148.413159102577","3","148.413159102577",0.671875
"result.179","radial","3","148.413159102577","3","8103.08392757538",0.671875
"result.180","radial","5","0.00673794699908547","0","2.71828182845905",0.703125
"result.181","radial","5","0.00673794699908547","0","148.413159102577",0.703125
"result.182","radial","5","0.00673794699908547","0","8103.08392757538",0.71875
"result.183","radial","5","0.00673794699908547","1","2.71828182845905",0.703125
"result.184","radial","5","0.00673794699908547","1","148.413159102577",0.703125
"result.185","radial","5","0.00673794699908547","1","8103.08392757538",0.71875
"result.186","radial","5","0.00673794699908547","2","2.71828182845905",0.703125
"result.187","radial","5","0.00673794699908547","2","148.413159102577",0.703125
"result.188","radial","5","0.00673794699908547","2","8103.08392757538",0.71875
"result.189","radial","5","0.00673794699908547","3","2.71828182845905",0.703125
"result.190","radial","5","0.00673794699908547","3","148.413159102577",0.703125
"result.191","radial","5","0.00673794699908547","3","8103.08392757538",0.71875
"result.192","radial","5","1","0","2.71828182845905",0.671875
"result.193","radial","5","1","0","148.413159102577",0.65625
"result.194","radial","5","1","0","8103.08392757538",0.5625
"result.195","radial","5","1","1","2.71828182845905",0.671875
"result.196","radial","5","1","1","148.413159102577",0.65625
"result.197","radial","5","1","1","8103.08392757538",0.5625
"result.198","radial","5","1","2","2.71828182845905",0.671875
"result.199","radial","5","1","2","148.413159102577",0.65625
"result.200","radial","5","1","2","8103.08392757538",0.5625
"result.201","radial","5","1","3","2.71828182845905",0.671875
"result.202","radial","5","1","3","148.413159102577",0.65625
"result.203","radial","5","1","3","8103.08392757538",0.5625
"result.204","radial","5","148.413159102577","0","2.71828182845905",0.671875
"result.205","radial","5","148.413159102577","0","148.413159102577",0.671875
"result.206","radial","5","148.413159102577","0","8103.08392757538",0.671875
"result.207","radial","5","148.413159102577","1","2.71828182845905",0.671875
"result.208","radial","5","148.413159102577","1","148.413159102577",0.671875
"result.209","radial","5","148.413159102577","1","8103.08392757538",0.671875
"result.210","radial","5","148.413159102577","2","2.71828182845905",0.671875
"result.211","radial","5","148.413159102577","2","148.413159102577",0.671875
"result.212","radial","5","148.413159102577","2","8103.08392757538",0.671875
"result.213","radial","5","148.413159102577","3","2.71828182845905",0.671875
"215",NA,"1",NA,"1",NA,0.703125
